Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,20.1,30,11.4,1013.8,47,0,1.8,8.9,22.2,, , , ,o
2,20.1,29,13.8,1014.3,52,0,1.9,7.2,22.2,, , , , 
3,20.3,28.1,14,1013.6,52,0,1.9,9.3,22.2,, , , , 
4,,,,,,,,,,,o, ,o,o
5,,,,,,,,,,, , , ,o
6,,,,,,,,,,, , , , 
7,17.2,27.4,10.5,1014.9,52,0,1.6,4.8,14.8,, , , , 
8,17.1,26.3,10.2,1015.1,54,0,1.6,2.8,11.1,, , , , 
9,15.2,28.9,8.8,1016.8,70,0,1.3,0,,, , , ,o
10,,,,,,,,,,, , , ,o
11,,,,,,,,,,, , , , 
12,,,,,,,,,,, , , , 
13,15.8,22.3,10.4,1016.2,77,0,1,8.9,14.8,, , , ,o
14,15,20.8,13.2,1016.8,93,0,1.1,3.5,9.4,,o, ,o, 
15,14.2,20,10.4,1019.2,82,12.95,1.6,1.9,9.4,, , , , 
16,,,,,,,,,,, , , ,o
17,,,,,,,,,,, , , ,o
18,,,,,,,,,,, , , ,o
19,11.7,17.6,7.4,1022.3,85,0,0.3,0.4,3.5,, , , ,o
20,11.3,17.5,7.2,1018.8,81,0,0.8,5.7,13,, , , ,o
21,9.5,17.5,5.6,1018.1,84,0,0.5,0.9,3.5,, , , ,o
22,,,,,,,,,,, , , ,o
23,,,,,,,,,,, , , ,o
24,,,,,,,,,,, , , ,o
25,9.3,16,6,1020,85,0,0.6,8.1,14.8,, , , ,o
26,10.8,17,6.3,1017.7,82,0,0.8,7.8,11.1,, , , ,o
27,10.4,19.2,4.8,1018.6,71,0,0.8,2.8,11.1,, , , ,o
28,,,,,,,,,,, , , ,o
29,,,,,,,,,,, , , ,o
30,,,,,,,,,,, , , ,o
31,,,,,,,,,,,,,,
