Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,15.6,23,9,1016.4,87,0,1.3,2.4,11.1,, , , ,o
2,17.4,24,9.3,1018.9,81,0,1.3,2.2,9.4,, , , ,o
3,16.7,24.3,9.5,1018,82,0,1,4.1,13,, , , ,o
4,,,,,,,,,,, , , ,o
5,,,,,,,,,,, , , ,o
6,,,,,,,,,,, , , ,o
7,14.7,24.4,13.5,1012.2,96,,1,10,22.2,,o, , , 
8,15.4,20,10.2,1015.5,84,0,1.1,2.2,7.6,, , , , 
9,14.1,20.2,8.6,1015.8,82,0,1.1,5,13,, , , , 
10,,,,,,,,,,, , , ,o
11,,,,,,,,,,, , , ,o
12,,,,,,,,,,, , , ,o
13,12.1,19,4.3,1017.8,70,0,1.4,6.1,14.8,, , , ,o
14,12.6,19.5,3.2,1019.2,78,0,1.3,5.2,11.1,, , , ,o
15,16.4,24,8.6,1017.3,73,0,1.3,3.3,7.6,, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,, , , ,o
18,,,,,,,,,,, , , ,o
19,14,21,6.4,1023.1,76,0,1.6,10.2,16.5,, , , ,o
20,14.7,21.3,6,,68,0,1.8,10.2,18.3,, , , ,o
21,14.7,20.8,7,1021.4,72,0,1,6.1,14.8,, , , ,o
22,,,,,,,,,,, , , ,o
23,,,,,,,,,,, , , ,o
24,,,,,,,,,,, , , ,o
25,19.8,25.6,12.5,1018.2,74,,1.1,7.8,24.1,,o, ,o, 
26,16.2,25.1,14.5,1017.1,92,,0.8,8,22.2,33.5,o, ,o, 
27,16.1,20,13.2,1019.1,80,,1.8,11.9,18.3,,o, , , 
28,,,,,,,,,,, , , ,o
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , ,o
31,17.3,23.2,9.8,1016,71,0,1.4,4.6,16.5,, , , ,o
